packet_count,byte_count,connection_count,packet_rate,byte_rate,avg_packet_size,unique_dst_ports,unique_dst_ips,proto_tcp_ratio,proto_udp_ratio,proto_icmp_ratio,mqtt_ratio,label
462,64022,462,46.2,6402.2,138.57575757575756,1,1,1.0,0.0,0.0,0.0,normal
619,41416,619,61.9,4141.6,66.90791599353797,3,1,1.0,0.0,0.0,0.0,normal
1,93,1,0.1,9.3,93.0,1,1,1.0,0.0,0.0,0.0,normal
22,6809,22,2.2,680.9,309.5,1,1,1.0,0.0,0.0,0.0,normal
723,3060788,723,72.3,306078.8,4233.455048409405,2,11,0.9972337482710927,0.0027662517289073307,0.0,0.0,normal
2,538,2,0.2,53.8,269.0,2,1,0.0,1.0,0.0,0.0,normal
1,54,1,0.1,5.4,54.0,1,1,1.0,0.0,0.0,0.0,normal
5,3136,5,0.5,313.6,627.2,1,1,1.0,0.0,0.0,0.0,normal
2,142,2,0.2,14.2,71.0,1,1,1.0,0.0,0.0,0.0,normal
14,4172,14,1.4,417.2,298.0,1,1,1.0,0.0,0.0,0.0,normal
1,178,1,0.1,17.8,178.0,1,1,1.0,0.0,0.0,0.0,normal
2,132,2,0.2,13.2,66.0,1,1,1.0,0.0,0.0,0.0,normal
1,54,1,0.1,5.4,54.0,1,1,1.0,0.0,0.0,0.0,normal
8,4235,8,0.8,423.5,529.375,1,1,1.0,0.0,0.0,0.0,normal
907,52393,907,90.7,5239.3,57.7651598676957,3,1,1.0,0.0,0.0,0.0,normal
1,54,1,0.1,5.4,54.0,1,1,1.0,0.0,0.0,0.0,normal
1,54,1,0.1,5.4,54.0,1,1,1.0,0.0,0.0,0.0,normal
9,5913,9,0.9,591.3,657.0,2,1,0.1111111111111111,0.8888888888888888,0.0,0.0,normal
5,1474,5,0.5,147.4,294.8,1,1,1.0,0.0,0.0,0.0,normal
536,2618772,536,53.6,261877.2,4885.768656716418,2,12,0.9850746268656716,0.014925373134328358,0.0,0.0,normal
18,5804,18,1.8,580.4,322.44444444444446,1,1,1.0,0.0,0.0,0.0,normal
2,142,2,0.2,14.2,71.0,1,1,1.0,0.0,0.0,0.0,normal
1,93,1,0.1,9.3,93.0,1,1,1.0,0.0,0.0,0.0,normal
1,93,1,0.1,9.3,93.0,1,1,1.0,0.0,0.0,0.0,normal
1,230,1,0.1,23.0,230.0,1,1,0.0,1.0,0.0,0.0,normal
781,49052,781,78.1,4905.2,62.80665813060179,2,1,1.0,0.0,0.0,0.0,normal
1,54,1,0.1,5.4,54.0,1,1,1.0,0.0,0.0,0.0,normal
3,237,3,0.3,23.7,79.0,1,1,1.0,0.0,0.0,0.0,normal
615,2172676,615,61.5,217267.6,3532.806504065041,1,6,1.0,0.0,0.0,0.0,normal
2,142,2,0.2,14.2,71.0,1,1,1.0,0.0,0.0,0.0,normal
15,1966,15,1.5,196.6,131.06666666666666,1,1,1.0,0.0,0.0,0.0,normal
1,178,1,0.1,17.8,178.0,1,1,1.0,0.0,0.0,0.0,normal
2,132,2,0.2,13.2,66.0,1,1,1.0,0.0,0.0,0.0,normal
17,8891,17,1.7,889.1,523.0,3,1,1.0,0.0,0.0,0.0,normal
2,687,2,0.2,68.7,343.5,1,1,1.0,0.0,0.0,0.0,normal
1,390,1,0.1,39.0,390.0,1,1,1.0,0.0,0.0,0.0,normal
24,9994,24,2.4,999.4,416.4166666666667,1,6,1.0,0.0,0.0,0.0,normal
3,239,3,0.3,23.9,79.66666666666667,1,1,1.0,0.0,0.0,0.0,normal
5,1648,5,0.5,164.8,329.6,1,1,1.0,0.0,0.0,0.0,normal
818,45074,818,81.8,4507.4,55.10268948655257,2,1,1.0,0.0,0.0,0.0,normal
1,54,1,0.1,5.4,54.0,1,1,1.0,0.0,0.0,0.0,normal
2,147,2,0.2,14.7,73.5,1,1,1.0,0.0,0.0,0.0,normal
1,54,1,0.1,5.4,54.0,1,1,1.0,0.0,0.0,0.0,normal
609,2431708,609,60.9,243170.8,3992.9523809523807,1,7,1.0,0.0,0.0,0.0,normal
5,1140,5,0.5,114.0,228.0,1,1,1.0,0.0,0.0,0.0,normal
2,142,2,0.2,14.2,71.0,1,1,1.0,0.0,0.0,0.0,normal
1,178,1,0.1,17.8,178.0,1,1,1.0,0.0,0.0,0.0,normal
2,132,2,0.2,13.2,66.0,1,1,1.0,0.0,0.0,0.0,normal
2,147,2,0.2,14.7,73.5,1,1,1.0,0.0,0.0,0.0,normal
19,9915,19,1.9,991.5,521.8421052631579,3,1,1.0,0.0,0.0,0.0,normal
1,54,1,0.1,5.4,54.0,1,1,1.0,0.0,0.0,0.0,normal
15,8606,15,1.5,860.6,573.7333333333333,1,5,1.0,0.0,0.0,0.0,normal
2,142,2,0.2,14.2,71.0,1,1,1.0,0.0,0.0,0.0,normal
1,80,1,0.1,8.0,80.0,1,1,1.0,0.0,0.0,0.0,normal
2,108,2,0.2,10.8,54.0,2,1,1.0,0.0,0.0,0.0,normal
1,54,1,0.1,5.4,54.0,1,1,1.0,0.0,0.0,0.0,normal
2,108,2,0.2,10.8,54.0,1,1,1.0,0.0,0.0,0.0,normal
